tweet_id,customer_message,predicted_intent,similar_customer_message,historical_reply,retrieval_similarity,draft_reply,decision,escalation_reason,reply_score,max_score,reply_quality,quality_reason
254854,@sprintcare Domestic.  Montana and South Dakota,OTHER,@sprintcare Domestic.  Montana &amp; South Dakota,"@176586 Hey there, can you confirm which roaming you are interested in. Is it international roaming or domestic roaming? -AH",0.9064,"@176586 Hey there, can you confirm which roaming you are interested in. Is it international roaming or domestic roaming? -AH",ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
977592,@sprintcare Data...it has been going on honestly for a month or so.,MOBILE_DATA_ISSUE,@sprintcare Data,@580316 @580316 - Are you having issues with data? Voice? Both? -LG,0.5501,@580316 @580316 - Are you having issues with data? Voice? Both? -LG,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
2950389,@sprintcare @300428 Lies,OTHER,@sprintcare More lies,@205104 I am sorry you feel you did not get the help you were needing. I will be happy to assist you. -FR,0.6356,@205104 I am sorry you feel you did not get the help you were needing. I will be happy to assist you. -FR,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Does not request clarification
821444,@sprintcare Pay my phone bill,BILLING_CHARGES,@sprintcare Why would I pay more not to own a phone?,"@167660 Not what we like to hear. I can understand your frustration, that's why I am asking you to please DM us. - LP",1.0,"@167660 Not what we like to hear. I can understand your frustration, that's why I am asking you to please DM us. - LP",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
1305143,"@sprintcare @424975 Feel the same way. For as much as I pay a month, @115714 service is awful and for sure switching asap",BILLING_CHARGES,@sprintcare Nopeeee! I have been though this already.. every last one of your costumers feel the same way!,@359248 We hate to hear you wanting to leave sprint. We can do some troubleshooting if you like to see if we can get the data working.,0.3263,@359248 We hate to hear you wanting to leave sprint. We can do some troubleshooting if you like to see if we can get the data working. Please verify the specific account details before sending.,ESCALATE,Customer frustration: switching,2,4,ACCEPTABLE,Weak acknowledgement/help
1545358,@sprintcare No I ordered it on purpose but I need it to arrive at my house by next week please and thank you @sprintcare,SHIPPING_OR_ORDER,@sprintcare Even if I ordered from https://t.co/UhEOTvr9qJ?,@286200 Hi there! We advised that you reached out to Apple concerning your issue. -JA,0.3856,@286200 Hi there! We advised that you reached out to Apple concerning your issue. -JA Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2603806,@sprintcare Can’t wait to get Hulu and watch shows on my iPhone X,DEVICE_OR_UPGRADE,@sprintcare Wait how do i get Hulu for free??,@628642 Glad you are enjoying Hulu! Thank you for the positive feedback and for being a loyal customer,0.6491,@628642 Glad you are enjoying Hulu! Thank you for the positive feedback and for being a loyal customer,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
1111859,"@sprintcare All updates are done, well the ones you push and Samsung and Sprint are always months behind on Android security patches even with Krack",DEVICE_OR_UPGRADE,@sprintcare Any updates?,@474485 I would love to assist you. Send a DM so we can get started. -SW,0.4109,@474485 I would love to assist you. Send a DM so we can get started. -SW Please verify the specific account details before sending.,ESCALATE,Sensitive or urgent issue: security,3,4,GOOD,Meets basic support-reply criteria
894757,@sprintcare @116447 Great Sprint service,GENERAL_FEEDBACK,@sprintcare @116447 Great. Thank U!,@380821 Team @116447 is here if you have any additional questions.,0.6039,@380821 Team @116447 is here if you have any additional questions.,AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help
1321270,@sprintcare after 2 hours i was finally able to get the pre order through!!! this was a terrible experience and nearly made me want to switch over.,SHIPPING_OR_ORDER,@sprintcare so will i be able to pre order the iphone x once the site is up?,"@427230 Hey, thanks for reaching out but the site is under maintenance till 3.00am CST. -LK",0.4026,"@427230 Hey, thanks for reaching out but the site is under maintenance till 3.00am CST. -LK Please verify the specific account details before sending.",ESCALATE,Customer frustration: terrible,3,4,GOOD,Meets basic support-reply criteria
