tweet_id,customer_message,predicted_intent,similar_customer_message,historical_reply,retrieval_similarity,draft_reply,decision,escalation_reason,reply_score,max_score,reply_quality,quality_reason
2153238,"@sprintcare No, doesn't seem to allow setting as default. No visual voicemail.",OTHER,"@sprintcare Why doesn't the U11 support visual voicemail? It's loaded with other Sprint Applications! The phone is only offered carrier specific to Sprint, so why no visual voicemail application? HTC had made a lot of phones for Sprint I don't understand why isn't this phone supported.","@122984 Hello, the HTC U11 does not support visual voicemail. You can still access your voicemail by calling it and using the prompts for the set up. Thank you.",0.4655,"@122984 Hello, the HTC U11 does not support visual voicemail. You can still access your voicemail by calling it and using the prompts for the set up. Thank you. Please verify the specific account details before sending.",ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
1718920,"@sprintcare Please post your policy the buy 1 get 1 free phone, but it's not free I am paying monthly second I was told that after one year of paying",PLAN_OR_PRICING,"@sprintcare Paying monthly for a phone tht dsn't snd me my mssgs/vm's/calls timely is not wht I'm paying for. By paying for the phone monthly or my monthly service. U say u like to help, u call, tell me to do this or that; u will f/u w/me but nvr hear frm u again. it's my fault smehow thgh",@597966 Hey! We hate that you're experiencing issues. Can you tell us what's going on with your s7? We'd like to help. -CD,0.3315,@597966 Hey! We hate that you're experiencing issues. Can you tell us what's going on with your s7? We'd like to help. -CD Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
899040,@sprintcare RUN ME MY MONEY @sprintcare,OTHER,@sprintcare No I’m not . I’m about to call again. I’m upset that I was givin the run around with my own money and was told they would TRY and refund my accounts. I was lied to over and over again and still nothing.,@627996 We understand that this is very frustrating and we will like 2 look into your matter.Are u currently on the phone with  representative? -TT,0.5206,@627996 We understand that this is very frustrating and we will like 2 look into your matter.Are u currently on the phone with  representative? -TT,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Does not request clarification
624791,"@sprintcare @268315 Website not working, can't believe this sprint",WEBSITE_OR_APP,@sprintcare @268315 Your website sucks!,"@268315 Hey there! Due to the excitement of the new iPhone, our website is in the process of being updated, please keep on trying later. -LR",0.629,"@268315 Hey there! Due to the excitement of the new iPhone, our website is in the process of being updated, please keep on trying later. -LR",AUTO_HANDLE,Routine support request with recognizable intent,1,4,WEAK,Weak acknowledgement/help; No clear next step
1910179,"@sprintcare Alex S: Balraj, I do understand your concern. But we do have tried to change the plan to BYOD plan in order to get the promotion for free",PLAN_OR_PRICING,@sprintcare Pay in full for a phone and still have to change my plan?,@436937 Hello Natalie! Were you able to complete your upgrade? How can we assist you? -JS,0.3549,@436937 Hello Natalie! Were you able to complete your upgrade? How can we assist you? -JS Please verify the specific account details before sending.,AUTO_HANDLE,Routine support request with recognizable intent,3,4,GOOD,Meets basic support-reply criteria
2729506,@sprintcare Well y’all should hurry up because att has been able to do this for YEARS!,OTHER,@sprintcare ✌@att,@207021 Hi! We would love for you to join our Sprint Family. We have great offers available for new customers. -DS,0.4723,@207021 Hi! We would love for you to join our Sprint Family. We have great offers available for new customers. -DS Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,2,4,ACCEPTABLE,Weak acknowledgement/help
1281784,@sprintcare Will this be covered under my phone warranty?,DEVICE_OR_UPGRADE,@sprintcare Will it cost anything or is it covered by insurance ?,"@675143 Hello! Please advise her to visit her closest Sprint repair center, here's a link to our store locator site: https://t.co/cj6DFeSaGj . LM -.",0.3453,"@675143 Hello! Please advise her to visit her closest Sprint repair center, here's a link to our store locator site: https://t.co/cj6DFeSaGj . LM -. Please verify the specific account details before sending.",AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,Weak acknowledgement/help
773470,@sprintcare @116447 I private messaged my info and a screenshot last night,OTHER,@sprintcare @116447 I messaged. Let’s see if you can help. This is insane,@334144 Allow Team @116447 to look into the matter. Please follow and DM for assistance. https://t.co/PKuv7UNx6L,0.366,@334144 Allow Team @116447 to look into the matter. Please follow and DM for assistance. https://t.co/PKuv7UNx6L Please verify the specific account details before sending.,ESCALATE,Intent could not be confidently classified,3,4,GOOD,Meets basic support-reply criteria
1483752,@sprintcare No mine should be here at some point tomorrow...I have AT&amp;T,OTHER,@sprintcare Hence the point of my rant.,@471026 @471026 -  This cannot be done. The IPhone x devices are currently out-of-stock in our warehouse and experiencing delays. 1/2 -LG,0.5778,@471026 @471026 -  This cannot be done. The IPhone x devices are currently out-of-stock in our warehouse and experiencing delays. 1/2 -LG,ESCALATE,Intent could not be confidently classified,1,4,WEAK,Weak acknowledgement/help; Does not request clarification
1966703,@sprintcare Sorry! I’m not feeling it🙄✋️. I will have nothing to do with Sprint ever again. I’m done with the Matrix 😡,BILLING_CHARGES,@sprintcare No you are not sorry,@524444 We are sorry about that.,0.7064,@524444 We are sorry about that.,AUTO_HANDLE,Routine support request with recognizable intent,2,4,ACCEPTABLE,No clear next step
