tweet_id,customer_message,similar_customer_message,historical_reply,retrieval_similarity
2153238,"@sprintcare No, doesn't seem to allow setting as default. No visual voicemail.","@sprintcare Why doesn't the U11 support visual voicemail? It's loaded with other Sprint Applications! The phone is only offered carrier specific to Sprint, so why no visual voicemail application? HTC had made a lot of phones for Sprint I don't understand why isn't this phone supported.","@122984 Hello, the HTC U11 does not support visual voicemail. You can still access your voicemail by calling it and using the prompts for the set up. Thank you.",0.4655
1718920,"@sprintcare Please post your policy the buy 1 get 1 free phone, but it's not free I am paying monthly second I was told that after one year of paying","@sprintcare Paying monthly for a phone tht dsn't snd me my mssgs/vm's/calls timely is not wht I'm paying for. By paying for the phone monthly or my monthly service. U say u like to help, u call, tell me to do this or that; u will f/u w/me but nvr hear frm u again. it's my fault smehow thgh",@597966 Hey! We hate that you're experiencing issues. Can you tell us what's going on with your s7? We'd like to help. -CD,0.3315
899040,@sprintcare RUN ME MY MONEY @sprintcare,@sprintcare No I’m not . I’m about to call again. I’m upset that I was givin the run around with my own money and was told they would TRY and refund my accounts. I was lied to over and over again and still nothing.,@627996 We understand that this is very frustrating and we will like 2 look into your matter.Are u currently on the phone with  representative? -TT,0.5206
624791,"@sprintcare @268315 Website not working, can't believe this sprint",@sprintcare @268315 Your website sucks!,"@268315 Hey there! Due to the excitement of the new iPhone, our website is in the process of being updated, please keep on trying later. -LR",0.629
1910179,"@sprintcare Alex S: Balraj, I do understand your concern. But we do have tried to change the plan to BYOD plan in order to get the promotion for free",@sprintcare Pay in full for a phone and still have to change my plan?,@436937 Hello Natalie! Were you able to complete your upgrade? How can we assist you? -JS,0.3549
2729506,@sprintcare Well y’all should hurry up because att has been able to do this for YEARS!,@sprintcare ✌@att,@207021 Hi! We would love for you to join our Sprint Family. We have great offers available for new customers. -DS,0.4723
1281784,@sprintcare Will this be covered under my phone warranty?,@sprintcare Will it cost anything or is it covered by insurance ?,"@675143 Hello! Please advise her to visit her closest Sprint repair center, here's a link to our store locator site: https://t.co/cj6DFeSaGj . LM -.",0.3453
773470,@sprintcare @116447 I private messaged my info and a screenshot last night,@sprintcare @116447 I messaged. Let’s see if you can help. This is insane,@334144 Allow Team @116447 to look into the matter. Please follow and DM for assistance. https://t.co/PKuv7UNx6L,0.366
1483752,@sprintcare No mine should be here at some point tomorrow...I have AT&amp;T,@sprintcare Hence the point of my rant.,@471026 @471026 -  This cannot be done. The IPhone x devices are currently out-of-stock in our warehouse and experiencing delays. 1/2 -LG,0.5778
1966703,@sprintcare Sorry! I’m not feeling it🙄✋️. I will have nothing to do with Sprint ever again. I’m done with the Matrix 😡,@sprintcare No you are not sorry,@524444 We are sorry about that.,0.7064
2191103,@sprintcare They’ve done that before,@sprintcare I've already done that...to no avail.,"@134926 We're constantly working to enhance our service. Please send us a Direct Message, so that we can further assist you. -PC",0.642
169025,@sprintcare Changed my password. Login with new password. Account locked. Ghey.,@sprintcare I changed my password last month and saved it in my keychain and it still won’t let me login. And I changed it because of this same issue,@297407 Hey! What's going on? Please let us know to assist. - EG,0.5659
903956,@sprintcare Not any more I learned my lesson,@sprintcare @116447 I believe the @sprintcare bot has learned to relish my dissatisfaction over time.,@319952 We are sorry to hear this. Please let us know how we can help! Team @116447,0.31
1165143,@sprintcare  https://t.co/dXaeE4ZS1v,@sprintcare  https://t.co/fr3Sha4j1t,@205104 Can you show me the promo offer you got for this device? -SW,1.0
1814734,@sprintcare I probably just need a new phone,"@sprintcare I would, but I probably don’t have reception",@516182 This isn't something we like to hear. Please send us a DM and allow me the opportunity to change your outlook on us. -CW,0.4811
25616,@sprintcare Ok I tried calling sprint business sales and the line just goes died,@sprintcare OK.,@572605 I would like to apologize for your IPhone X experience. I will contact you to discuss your IPhone X concerns  and a resolution. https://t.co/rMApsV8PQY,0.2875
2282723,@sprintcare Yep I'm a customer. We've been together for over 13 years and since I'm seasoned it only fair to help others not fall into dysfunctional relationships @115714. 🤔😟😣,@sprintcare @494074 13 years jod customer and this down payment bs,@494074 We have great deals with for the iPhone X! Please click on this link to check 'em out here https://t.co/nUZ2kUiomr . - LP,0.4707
2504592,@sprintcare Thank you. She found it lol nvm,@sprintcare Thank you!,"@126865 Hey there, please click this link https://t.co/U8vfUCAADd fro further information. -SR",0.5434
2191012,"@sprintcare Back when I had the V20 Sprint version didn't have the stock music player, gallery, or email app (sure there was more but I returned it fast). I don't like Google apps and prefer the stock ones which I couldn't even download. Also you could see the digitizer lines on the screen.",@sprintcare It says it's out of stock how is it or of stock if the website was down,"@425695 Please try again, if you're still presenting issues with website. - VC",0.3236
137372,@sprintcare @146969 ‘What DOES make you feel this way’?!?! Is this a bot?! Lol,@sprintcare Nopeeee! I have been though this already.. every last one of your costumers feel the same way!,@359248 We hate to hear you wanting to leave sprint. We can do some troubleshooting if you like to see if we can get the data working.,0.4262
2246205,@sprintcare Maybe tell that to the employees at your stores then.,@sprintcare Maybe fix the one in Rotterdam please,Service in the #Greenville #NC area has been fully restored. We appreciate your patience and apologize for the inconvenience.,0.609
