tweet_id,text,intent
2153238,"@sprintcare No, doesn't seem to allow setting as default. No visual voicemail.",DEVICE_OR_UPGRADE
1718920,"@sprintcare Please post your policy the buy 1 get 1 free phone, but it's not free I am paying monthly second I was told that after one year of paying",BILLING_CHARGES
899040,@sprintcare RUN ME MY MONEY @sprintcare,BILLING_CHARGES
624791,"@sprintcare @268315 Website not working, can't believe this sprint",WEBSITE_OR_APP
1910179,"@sprintcare Alex S: Balraj, I do understand your concern. But we do have tried to change the plan to BYOD plan in order to get the promotion for free",PLAN_OR_PRICING
2729506,@sprintcare Well y’all should hurry up because att has been able to do this for YEARS!,PLAN_OR_PRICING
1281784,@sprintcare Will this be covered under my phone warranty?,DEVICE_OR_UPGRADE
773470,@sprintcare @116447 I private messaged my info and a screenshot last night,DM_OR_FOLLOW_UP
1483752,@sprintcare No mine should be here at some point tomorrow...I have AT&amp;T,SHIPPING_OR_ORDER
1966703,@sprintcare Sorry! I’m not feeling it🙄✋️. I will have nothing to do with Sprint ever again. I’m done with the Matrix 😡,GENERAL_FEEDBACK
2191103,@sprintcare They’ve done that before,GENERAL_FEEDBACK
169025,@sprintcare Changed my password. Login with new password. Account locked. Ghey.,ACCOUNT_OR_SECURITY
903956,@sprintcare Not any more I learned my lesson,GENERAL_FEEDBACK
1165143,@sprintcare  https://t.co/dXaeE4ZS1v,OTHER
1814734,@sprintcare I probably just need a new phone,DEVICE_OR_UPGRADE
25616,@sprintcare Ok I tried calling sprint business sales and the line just goes died,CUSTOMER_SERVICE
2282723,@sprintcare Yep I'm a customer. We've been together for over 13 years and since I'm seasoned it only fair to help others not fall into dysfunctional relationships @115714. 🤔😟😣,GENERAL_FEEDBACK
2504592,@sprintcare Thank you. She found it lol nvm,CUSTOMER_SERVICE
2191012,"@sprintcare Back when I had the V20 Sprint version didn't have the stock music player, gallery, or email app (sure there was more but I returned it fast). I don't like Google apps and prefer the stock ones which I couldn't even download. Also you could see the digitizer lines on the screen.",DEVICE_OR_UPGRADE
137372,@sprintcare @146969 ‘What DOES make you feel this way’?!?! Is this a bot?! Lol,CUSTOMER_SERVICE
2246205,@sprintcare Maybe tell that to the employees at your stores then.,CUSTOMER_SERVICE
1586907,@sprintcare You,OTHER
2436960,@sprintcare I DM that,DM_OR_FOLLOW_UP
248397,@sprintcare https://t.co/wa0ZpAWDCK,OTHER
1512434,@sprintcare A sprint team member finally got to me in an online chat and promises my issues are resolved and they will be in contact...,CUSTOMER_SERVICE
822001,@sprintcare I never heard back from an agent yesterday!,DM_OR_FOLLOW_UP
2432206,"@sprintcare @116447 When it’s shortly? Today, tomorrow, when? I still without phone.",SHIPPING_OR_ORDER
2626164,@sprintcare The complaint has been filed @116447 fix it.,CUSTOMER_SERVICE
321322,@sprintcare Any new updates on towers in Puerto Rico ? Specifically 00773 .. day 8 don’t have info on parents still.,NETWORK_COVERAGE
727507,"@sprintcare Didn’t show up, and now rep #6 says I’m not eligible, someone better fix this and fast",CUSTOMER_SERVICE
1321270,@sprintcare after 2 hours i was finally able to get the pre order through!!! this was a terrible experience and nearly made me want to switch over.,SHIPPING_OR_ORDER
2203976,@sprintcare You cant you sent my bill to collections and pretty much ruined me. So unless you want to settle this as a huge misunderstanding and exonerate my debt towards you through DCI collections then there is nothing you can do.,BILLING_CHARGES
500234,@sprintcare Ok. Then explain to me what benefit I’m paying for exactly. I’ve paid 7.99 a month for something I’ve never benefited from.,PLAN_OR_PRICING
2239913,@sprintcare No i expect a call back. I'm not troubleshooting again. Ive done it all. Call me or say you dont want to help.,CUSTOMER_SERVICE
1609752,@sprintcare The outage was nationwide.  You don't need my cross street and zip.  You need to not shut down data at 4 am without announcement.,MOBILE_DATA_ISSUE
2003328,@sprintcare Thank you. However I just off the phone with a sprint specialist and my phone is now acticated. Thanks! :),DEVICE_OR_UPGRADE
2436956,@sprintcare They told me I could and saw a pending $470 credit on account they said call back and I could have them bill me it and credit will cover it,BILLING_CHARGES
1095671,"@sprintcare Spotty service, that’s what.",NETWORK_COVERAGE
2838002,@sprintcare every month there’s a new charge every month there’s diff information from diff specialist. Paid my bill to have a clean slate and just got hit with 376 bill for this month ... charges after charges,BILLING_CHARGES
628812,@sprintcare Indoors and outdoors. Issue has been going on since yesterday.,NETWORK_COVERAGE
2358470,@sprintcare Anthony Reyes,OTHER
2366529,@sprintcare I have @115911 :p,OTHER
2440246,@sprintcare Nothing ever goes smooth with sprint. Ordering new phones 1st night was a nightmare. Still having issues. Website now is inaccessible,SHIPPING_OR_ORDER
1444856,@sprintcare Yes. Mainly data and sending texts,MOBILE_DATA_ISSUE
62694,@sprintcare i haven't had a response in over 20 minutes and I was asked a simple question. I'm about to quit the chat and switch over to a new carrier,CUSTOMER_SERVICE
1031111,@sprintcare It's an old message. Matter has been handled,CUSTOMER_SERVICE
1111859,"@sprintcare All updates are done, well the ones you push and Samsung and Sprint are always months behind on Android security patches even with Krack",DEVICE_OR_UPGRADE
297583,"@sprintcare @186888 Towers updated, customers with connection issues have to call sprint, get another number to call to update devices.",NETWORK_COVERAGE
2831917,@sprintcare And a chance to change the situation. I’ve only been bitchin about it for a week. How long does sprint need to check that tower closet to me,NETWORK_COVERAGE
2913379,@sprintcare Since December 2016 and yes only where I live.,NETWORK_COVERAGE
1873492,@sprintcare It just redirects back to Safari from the app,WEBSITE_OR_APP
923492,@sprintcare EAD,OTHER
1076752,@sprintcare Who makes the decision what color each carrier gets,OTHER
2499596,@sprintcare Lo fui por 15 años y nos dieron un mal trato con supuestamente un teléfono de regalado.,PLAN_OR_PRICING
1316016,@sprintcare @427430 Fuck you sprint you careless bitches.  I hope someone shoves an iPhone x done your snatch hole.,GENERAL_FEEDBACK
141645,@sprintcare Not resolved. Already called few times and wasted a lot of time. The problem is Sprint.,CUSTOMER_SERVICE
894804,@sprintcare Went through crap customer service in the physical stores. Nothing you can really do on here to help. There should be loyalty “rewards” for customers. It retains people!,CUSTOMER_SERVICE
2097790,@sprintcare I️ can be reached at 6788753205. I’ve reached out to you all with no resolve. I’ve listed my contact you can reach me  @115714 @sprintcare,DM_OR_FOLLOW_UP
1314283,"@sprintcare I have two other browsers open, both are still in line. The aforementioned issue actually got me pushed back in the cue.",WEBSITE_OR_APP
619826,@sprintcare With no LTE serv,NETWORK_COVERAGE
1459322,@sprintcare I’ve already spent all afternoon talking to you about it. You told me you couldn’t do anything cos of the tall buildings,NETWORK_COVERAGE
1010461,@sprintcare You guys messed up on your end and won’t fix it,CUSTOMER_SERVICE
695025,@sprintcare We should not have to call to receive a credit you know our situation! Issue a credit to all VI customers! Ppl cannot reach loved ones!,BILLING_CHARGES
1929325,@sprintcare August,OTHER
1292,@sprintcare I've sent several private messages!!! and no one responds!,DM_OR_FOLLOW_UP
1604771,@sprintcare This is a big inconveniences. I don't have home internet. I an standing in 30°weather next to a shut coffee shop to get online,MOBILE_DATA_ISSUE
157223,@sprintcare I did there are no discounts or additional deals in less you add a line. A bunch of crap.,PLAN_OR_PRICING
