tweet_id,created_at,text,in_response_to_tweet_id
2,Tue Oct 31 22:11:45 +0000 2017,@sprintcare and how do you propose we do that,1
3,Tue Oct 31 22:08:27 +0000 2017,@sprintcare I have sent several private messages and no one is responding as usual,4
5,Tue Oct 31 21:49:35 +0000 2017,@sprintcare I did.,6
12,Tue Oct 31 22:04:47 +0000 2017,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,15
16,Tue Oct 31 20:00:43 +0000 2017,@sprintcare Since I signed up with you....Since day 1,17
1286,Thu Nov 09 00:48:24 +0000 2017,@sprintcare If it was concerning I wouldn’t have to be tweeting you so much over the last few years,1285
1287,Thu Nov 09 00:41:07 +0000 2017,@sprintcare Well if you could fix your fucking potato towers out here in Albuquerque that would be a start. https://t.co/qyDs2dbgQI,1285
1290,Thu Nov 09 01:03:43 +0000 2017,@sprintcare Just fix it,1289
1292,Tue Oct 31 22:30:09 +0000 2017,@sprintcare I've sent several private messages!!! and no one responds!,1291
1295,Tue Oct 31 22:34:55 +0000 2017,@sprintcare I sent it twice now to apparently noone!,1294
2102,Tue Oct 31 22:37:51 +0000 2017,@sprintcare Yes I do. You want me to dm you or just write it on the comments???,2103
2113,Sat Nov 04 00:08:56 +0000 2017,@sprintcare I called customer care when I tweeted this and they said double charge would be credited. Still no credit.,2112
2116,Tue Oct 31 11:59:05 +0000 2017,"@sprintcare You’re a bunch of crooks, you don’t care about happy customers, y’all just want money, save me the BS",2120
3177,Tue Oct 31 23:09:03 +0000 2017,@sprintcare Just sent a DM,3176
3180,Tue Oct 31 22:57:23 +0000 2017,@sprintcare Don’t worry about it.... I’m just going to see what other companies offer,3179
3183,Tue Oct 31 23:11:19 +0000 2017,@sprintcare Y’all lie,3182
3186,Tue Oct 31 22:46:48 +0000 2017,@sprintcare I am not surprised because nothing works when it comes to sprint!,3187
4308,Tue Oct 31 23:05:28 +0000 2017,@sprintcare @116716 Lol it just gets worse 😂,4307
6899,Mon Oct 09 00:28:49 +0000 2017,"@sprintcare @83216...the last agent in telesales, Ching or Chin, basically told me he has not ID #, and NO MANAGER OR SUPERVISOR TO ESCALATE MY ISSUE TO!",6900
7752,Tue Oct 31 23:47:06 +0000 2017,@sprintcare No. You already got my koney and I had 13 attempts with you. I feel Sprint sucks and only incompetents work there,7751
8039,Thu Nov 02 18:16:10 +0000 2017,@sprintcare My internet SUCKS!!!! And their is ALWAYS something wrong with my bill. Lol. It's crazy. I could've went to #MetroPCS for this😕,8037
8040,Thu Nov 02 18:14:29 +0000 2017,"@sprintcare I've called literally more the 15x and it's always about some tower repair, reset my phone, go to the Sprint store..its ridiculous .😞",8037
8837,Tue Oct 31 23:48:17 +0000 2017,@sprintcare 5 lines for $100? Better rate then @115911 but I'm a fan of @115913. What more do you have @115714. Got a cool CEO?,8838
8842,Wed Nov 01 00:00:12 +0000 2017,"@sprintcare @626 @115714 Lol for the eighteen thoudandth time, this is not my phone because there are 2 iPhones and 2 androids, and it effects them all. SMFH",8841
8845,Wed Nov 01 00:02:55 +0000 2017,@sprintcare Are you getting dizzy yet? Because you seem to be running in circles.,8844
8848,Wed Nov 01 00:07:52 +0000 2017,@sprintcare A customer should NOT have to go through so much just to get adequate service that they pay $300 a month for. UNACCEPTABLE,8847
8849,Wed Nov 01 00:07:00 +0000 2017,@sprintcare Pretty funny stuff guys...,8847
8850,Wed Nov 01 00:06:48 +0000 2017,@sprintcare Earlier today: https://t.co/cBEzfl9jFI,8847
8851,Wed Nov 01 00:05:58 +0000 2017,@sprintcare Oh again? Why the other two times today wasn’t enough?,8847
8846,Wed Nov 01 00:02:23 +0000 2017,@sprintcare Hmm interesting cause I’ve had that done twice now LMAO,8844
8856,Tue Oct 31 23:39:33 +0000 2017,@sprintcare Well how come there are people on here who’s have shipped already?,8857
8858,Tue Oct 31 22:47:07 +0000 2017,"@sprintcare My iPhone X said deliver date of the 3rd when I ordered it, however it still says “pending” when checking order status.",8859
8865,Tue Oct 31 23:52:48 +0000 2017,@sprintcare well i just tried calling you guys but it automatically fails. i had this problem an hour ago and it’s back. just messaged you.,8864
8869,Tue Oct 31 01:17:18 +0000 2017,@sprintcare I Broke My Phone And Yah Insurance Clam Thing Giving Me The Run Around,8875
9541,Tue Oct 31 23:57:38 +0000 2017,"@sprintcare Disnthat for an hour and a half yesterday, said I may hear back by Thursday after she investigates, not holding my breath",9542
9549,Wed Nov 01 05:48:02 +0000 2017,"@sprintcare Again, contact is Ashley Wisniewski - 312.890.7112.  She IS an account holder.",9548
