tweet_id,text,intent,predicted_intent,correct
2153238,"@sprintcare No, doesn't seem to allow setting as default. No visual voicemail.",DEVICE_OR_UPGRADE,OTHER,False
1718920,"@sprintcare Please post your policy the buy 1 get 1 free phone, but it's not free I am paying monthly second I was told that after one year of paying",BILLING_CHARGES,BILLING_CHARGES,True
899040,@sprintcare RUN ME MY MONEY @sprintcare,BILLING_CHARGES,BILLING_CHARGES,True
624791,"@sprintcare @268315 Website not working, can't believe this sprint",WEBSITE_OR_APP,WEBSITE_OR_APP,True
1910179,"@sprintcare Alex S: Balraj, I do understand your concern. But we do have tried to change the plan to BYOD plan in order to get the promotion for free",PLAN_OR_PRICING,PLAN_OR_PRICING,True
2729506,@sprintcare Well y’all should hurry up because att has been able to do this for YEARS!,PLAN_OR_PRICING,OTHER,False
1281784,@sprintcare Will this be covered under my phone warranty?,DEVICE_OR_UPGRADE,DEVICE_OR_UPGRADE,True
773470,@sprintcare @116447 I private messaged my info and a screenshot last night,DM_OR_FOLLOW_UP,DM_OR_FOLLOW_UP,True
1483752,@sprintcare No mine should be here at some point tomorrow...I have AT&amp;T,SHIPPING_OR_ORDER,OTHER,False
1966703,@sprintcare Sorry! I’m not feeling it🙄✋️. I will have nothing to do with Sprint ever again. I’m done with the Matrix 😡,GENERAL_FEEDBACK,OTHER,False
2191103,@sprintcare They’ve done that before,GENERAL_FEEDBACK,OTHER,False
169025,@sprintcare Changed my password. Login with new password. Account locked. Ghey.,ACCOUNT_OR_SECURITY,ACCOUNT_OR_SECURITY,True
903956,@sprintcare Not any more I learned my lesson,GENERAL_FEEDBACK,OTHER,False
1165143,@sprintcare  https://t.co/dXaeE4ZS1v,OTHER,OTHER,True
1814734,@sprintcare I probably just need a new phone,DEVICE_OR_UPGRADE,DEVICE_OR_UPGRADE,True
25616,@sprintcare Ok I tried calling sprint business sales and the line just goes died,CUSTOMER_SERVICE,CALLING_ISSUE,False
2282723,@sprintcare Yep I'm a customer. We've been together for over 13 years and since I'm seasoned it only fair to help others not fall into dysfunctional relationships @115714. 🤔😟😣,GENERAL_FEEDBACK,SHIPPING_OR_ORDER,False
2504592,@sprintcare Thank you. She found it lol nvm,CUSTOMER_SERVICE,OTHER,False
2191012,"@sprintcare Back when I had the V20 Sprint version didn't have the stock music player, gallery, or email app (sure there was more but I returned it fast). I don't like Google apps and prefer the stock ones which I couldn't even download. Also you could see the digitizer lines on the screen.",DEVICE_OR_UPGRADE,WEBSITE_OR_APP,False
137372,@sprintcare @146969 ‘What DOES make you feel this way’?!?! Is this a bot?! Lol,CUSTOMER_SERVICE,OTHER,False
2246205,@sprintcare Maybe tell that to the employees at your stores then.,CUSTOMER_SERVICE,OTHER,False
1586907,@sprintcare You,OTHER,OTHER,True
2436960,@sprintcare I DM that,DM_OR_FOLLOW_UP,DM_OR_FOLLOW_UP,True
248397,@sprintcare https://t.co/wa0ZpAWDCK,OTHER,OTHER,True
1512434,@sprintcare A sprint team member finally got to me in an online chat and promises my issues are resolved and they will be in contact...,CUSTOMER_SERVICE,WEBSITE_OR_APP,False
822001,@sprintcare I never heard back from an agent yesterday!,DM_OR_FOLLOW_UP,CUSTOMER_SERVICE,False
2432206,"@sprintcare @116447 When it’s shortly? Today, tomorrow, when? I still without phone.",SHIPPING_OR_ORDER,DEVICE_OR_UPGRADE,False
2626164,@sprintcare The complaint has been filed @116447 fix it.,CUSTOMER_SERVICE,OTHER,False
321322,@sprintcare Any new updates on towers in Puerto Rico ? Specifically 00773 .. day 8 don’t have info on parents still.,NETWORK_COVERAGE,NETWORK_COVERAGE,True
727507,"@sprintcare Didn’t show up, and now rep #6 says I’m not eligible, someone better fix this and fast",CUSTOMER_SERVICE,OTHER,False
